cam_01, diff = 38.0, scale = 32
cam_02, diff = 8.0, scale = 32
cam_03, diff = 11.0, scale = 32
cam_04, diff = 584.0, scale = 32
cam_05, diff = 28.0, scale = 32
cam_06, diff = 41.0, scale = 32
cam_07, diff = 33.0, scale = 32
cam_08, diff = 116.0, scale = 32
cam_09, diff = 902.0, scale = 16
cam_10, diff = 390.0, scale = 192
cam_11, diff = 11.0, scale = 32
cam_12, diff = 194.0, scale = 16
cam_13, diff = 24.0, scale = 32
cam_14, diff = 28.0, scale = 96
cam_15, diff = 18.0, scale = 96
cam_16, diff = 650.0, scale = 48
cam_17, diff = 203.0, scale = 48
cam_18, diff = 423.0, scale = 32
cam_19, diff = 90.0, scale = 32
cam_20, diff = 279.0, scale = 96
cam_21, diff = 11.0, scale = 96
cam_22, diff = 34.0, scale = 96
cam_23, diff = 44.0, scale = 32
cam_24, diff = 806.0, scale = 32
cam_25, diff = 79.0, scale = 32
